,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_exponent_n_steps,params_gamma,params_max_grad_norm,params_net_arch,user_attrs_gamma_,user_attrs_n_steps,state
88,88,276.6,2022-06-21 12:53:17.219328,2022-06-21 12:53:23.374882,0 days 00:00:06.155554,tanh,6,0.0009286427332476338,1.595621519756606,timy,0.9990713572667523,64,PRUNED
89,89,405.5,2022-06-21 12:53:23.376973,2022-06-21 12:53:29.419809,0 days 00:00:06.042836,relu,7,0.003588395999092218,1.4885253754982035,timy,0.9964116040009078,128,PRUNED
90,90,202.5,2022-06-21 12:53:29.421664,2022-06-21 12:53:35.688592,0 days 00:00:06.266928,relu,6,0.010614248664046443,0.7920079442988344,small,0.9893857513359535,64,PRUNED
91,91,9.3,2022-06-21 12:53:35.694331,2022-06-21 12:53:41.298871,0 days 00:00:05.604540,tanh,7,0.023996012019564836,2.825674443099256,timy,0.9760039879804352,128,PRUNED
92,92,343.3,2022-06-21 12:53:41.303954,2022-06-21 12:53:47.189140,0 days 00:00:05.885186,relu,7,0.012580115914231789,0.7169948838377418,small,0.9874198840857682,128,PRUNED
93,93,227.4,2022-06-21 12:53:47.196543,2022-06-21 12:53:52.914408,0 days 00:00:05.717865,tanh,8,0.0011909146441257822,1.2750775536665295,timy,0.9988090853558742,256,PRUNED
94,94,499.9,2022-06-21 12:53:52.917136,2022-06-21 12:54:04.810766,0 days 00:00:11.893630,tanh,8,0.0018323234617497234,2.003935535114197,timy,0.9981676765382502,256,COMPLETE
95,95,436.6,2022-06-21 12:54:04.813177,2022-06-21 12:54:10.978958,0 days 00:00:06.165781,relu,6,0.005969279179764748,0.9946668626741266,small,0.9940307208202352,64,PRUNED
96,96,164.8,2022-06-21 12:54:10.981066,2022-06-21 12:54:16.602315,0 days 00:00:05.621249,tanh,7,0.0012937827371675575,2.341854518588328,timy,0.9987062172628325,128,PRUNED
97,97,43.8,2022-06-21 12:54:16.604414,2022-06-21 12:54:23.327474,0 days 00:00:06.723060,relu,5,0.008413726255854178,0.6559315284878589,small,0.9915862737441459,32,PRUNED
98,98,178.1,2022-06-21 12:54:23.329598,2022-06-21 12:54:29.229970,0 days 00:00:05.900372,relu,7,0.009245006456471618,0.860468236129271,small,0.9907549935435284,128,PRUNED
99,99,9.2,2022-06-21 12:54:29.234336,2022-06-21 12:54:36.166757,0 days 00:00:06.932421,relu,4,0.017079999132633243,0.5915721783576651,small,0.9829200008673667,16,PRUNED
